"ArtNomGroupe";"ArtManDateStartDate";"ArtManDateStartHour";"ArtManDateEndHour"
"Akkordeon Orchester Frohe Klänge e.V.";"31/08/2025";"11:00";"12:00"
"Al Graf & Friends";"20/06/2025";"20:00";"22:00"
"Bartrenger Musek";"20/05/2025";"19:30";"20:30"
"BIG BAND Dag Place d'armes";"13/07/2025";"13:30";"21:50"
"Big Band de la Musique militaire";"23/05/2025";"20:00";"21:00"
"Big Band Memory 2.0";"30/05/2025";"19:00";"20:00"
"Big Band Opus 78";"16/05/2025";"20:00";"21:30"
"Brass'I Cool";"30/08/2025";"11:00";"12:00"
"Caecilia Wind Orchestra";"17/08/2025";"11:00";"12:00"
"CARPE DIEM and Friends";"03/09/2025";"19:00";"20:00"
"Cercle des Mondolinistes de Kayl";"29/04/2025";"19:30";"20:30"
"Die Böhmerischen";"16/08/2025";"11:00";"12:00"
"Dixie Band de la Musique Militaire";"06/06/2025";"20:00";"21:00"
"Douane  Musek";"27/06/2025";"20:00";"21:00"
"Douane s Musek mat der Garnisiouns Musek";"21/05/2025";"19:00";"20:00"
"Ecole de danse Mireille Roulling";"18/07/2025";"20:00";"21:00"
"Eecher Musek";"18/06/2025";"20:00";"21:00"
"ENSEMBLE BELARUS";"06/08/2025";"19:00";"20:00"
"FANFARE GRAND-DUCALE DE CLAUSEN";"21/07/2025";"19:30";"20:30"
"FANFARE MEDERNACH";"18/05/2025";"11:00";"12:00"
"Fanfare Municipale Neudorf Weimershof";"08/06/2025";"11:00";"12:00"
"Fanfare Municpale Luxembourg Bonnevoie";"04/07/2025";"20:00";"21:00"
"Fanfare Prince Henri Bonnevoie";"04/07/2025";"19:00";"20:00"
"Fanfare Royale Grand Ducale Fanfare Royale Grand Ducale Luxembourg Grund-Fetschenhof Cents";"02/07/2025";"20:00";"21:00"
"Fanfare royale Ste-Cécile Assesse";"15/08/2025";"19:00";"20:00"
"Fanfare Stroossen";"14/05/2025";"19:00";"20:00"
"Foulschter Musik";"24/06/2025";"19:00";"20:00"
"Garnecher Musek";"11/05/2025";"11:00";"12:00"
"Grand Orchestre Musique Militaire";"25/06/2025";"20:00";"21:00"
"Grand Orchestre Musique Militaire";"06/07/2025";"11:00";"12:00"
"Grand Orchestre Musique Militaire";"18/07/2025";"20:30";"22:00"
"Grand Orchestre Musique Militaire";"05/09/2025";"20:00";"21:00"
"Groupe Folklorique Les Soleils Boulonnais";"20/04/2025";"15:00";"16:00"
"Harmonie des Jeunes Prince Guillaume";"02/07/2025";"19:00";"20:00"
"Harmonie Dudelange";"10/06/2025";"19:30";"20:30"
"Harmonie Gemeng Mamer";"08/07/2025";"19:30";"20:30"
"HARMONIE GR D ORANIA Colmer Bierg";"03/06/2025";"19:00";"20:00"
"Harmonie Mondercange";"28/05/2025";"19:00";"20:00"
"Harmonie Municipale Differdange";"14/07/2025";"20:00";"21:00"
"Harmonie Municipale Hollerich, Luxembourg Gare  Cessange";"09/07/2025";"20:00";"21:30"
"Harmonie Rollingergrund";"16/07/2025";"19:00";"20:00"
"Harmonie Royale La Stabuloise";"20/07/2025";"11:00";"12:00"
"Harmonie Royale Saint Joseph de Vance";"07/09/2025";"11:00";"12:00"
"KOLLEISCH MUSEK";"16/05/2025";"16:00";"17:00"
"Lampertsbierger Musek";"12/07/2025";"11:00";"12:00"
"Leidelenger Musek";"17/06/2025";"19:30";"20:30"
"Märeler Big Band";"11/07/2025";"20:00";"21:00"
"MELDRUM ACADEMY Scottish Youth Band Scotland";"29/06/2025";"18:00";"19:00"
"Musek Keespelt Meespelt";"17/05/2025";"11:00";"12:00"
"Museksfrënn Gemeng Noumer";"13/05/2025";"19:00";"20:00"
"Musik Gemeng Bauschelt";"29/07/2025";"19:00";"20:00"
"Musik Gemeng Ell";"12/08/2025";"19:00";"20:00"
"Musik Gilsdref";"29/06/2025";"11:00";"12:00"
"Musiksensemble Divertimento";"07/05/2025";"19:00";"20:00"
"Musikverein Harmonie Bollendorf";"24/08/2025";"11:00";"12:00"
"Musikverein Rötenbach e.V.";"05/09/2025";"16:00";"17:00"
"OGBL BIG BAND";"25/07/2025";"19:00";"20:00"
"OPUS AR Big Band";"02/05/2025";"19:00";"20:00"
"Philharmonie Préizerdaul";"06/05/2025";"20:00";"21:00"
"PIAZZA BAND";"23/07/2025";"19:00";"20:00"
"Pompjees Musik Bettenduerf";"26/07/2025";"11:00";"12:00"
"Réidener Musek";"04/06/2025";"19:30";"20:30"
"Rittersberg Big Band";"29/08/2025";"19:00";"20:00"
"Schetter Musek";"27/05/2025";"19:00";"20:00"
"Schulorchester der Realschulen Kaufering, Landsberg, Schongau";"30/04/2025";"19:00";"20:00"
"Schweecherdauler Musek";"01/06/2025";"11:00";"12:00"
"Seller Musek";"25/05/2025";"11:00";"12:00"
"Simmer Duerfmusek";"11/06/2025";"20:00";"21:00"
"SON TRIOMANGO";"12/07/2025";"20:00";"22:00"
"Spuerkees Bankers in Concert";"09/05/2025";"20:00";"21:00"
"The Mighty Big Band";"22/08/2025";"19:00";"20:00"
"The Nothern Big Band";"08/08/2025";"19:00";"20:00"
"Tramsmusek";"21/06/2025";"11:00";"12:00"
"Trentenger Musek";"15/07/2025";"19:00";"20:00"
"Trierisch Böhmische Blasmusik";"10/08/2025";"11:00";"12:00"
"Walfer Musek";"01/07/2025";"20:00";"21:00"
"Welleschter Musek";"03/08/2025";"11:00";"12:00"
